0,norms
"shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil","almonds,antioxydant juice,avocado,cottage cheese,energy drink,frozen smoothie,green grapes,green tea,honey,low fat yogurt,mineral water,olive oil,salad,salmon,shrimp,spinach,tomato juice,vegetables mix,whole weat flour,yams"
"burgers,meatballs,eggs","burgers,eggs,meatballs"
chutney,chutney
"turkey,avocado","avocado,turkey"
"mineral water,milk,energy bar,whole wheat rice,green tea","energy bar,green tea,milk,mineral water,whole wheat rice"
low fat yogurt,low fat yogurt
"whole wheat pasta,french fries","french fries,whole wheat pasta"
"soup,light cream,shallot","light cream,shallot,soup"
"frozen vegetables,spaghetti,green tea","frozen vegetables,green tea,spaghetti"
french fries,french fries
"eggs,pet food","eggs,pet food"
cookies,cookies
"turkey,burgers,mineral water,eggs,cooking oil","burgers,cooking oil,eggs,mineral water,turkey"
"spaghetti,champagne,cookies","champagne,cookies,spaghetti"
"mineral water,salmon","mineral water,salmon"
mineral water,mineral water
"shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt","chicken,chocolate,cooking oil,honey,low fat yogurt,oil,shrimp"
"turkey,eggs","eggs,turkey"
"turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate","black tea,chicken,eggs,extra dark chocolate,fresh tuna,mineral water,salmon,spaghetti,tomatoes,turkey"
"meatballs,milk,honey,french fries,protein bar","french fries,honey,meatballs,milk,protein bar"
"red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo","chocolate,eggs,pasta,pepper,red wine,shampoo,shrimp"
"rice,sparkling water","rice,sparkling water"
"spaghetti,mineral water,ham,body spray,pancakes,green tea","body spray,green tea,ham,mineral water,pancakes,spaghetti"
"burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste","avocado,burgers,grated cheese,honey,pasta,shrimp,toothpaste,white wine"
eggs,eggs
"parmesan cheese,spaghetti,soup,avocado,milk,fresh bread","avocado,fresh bread,milk,parmesan cheese,soup,spaghetti"
"ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope","black tea,energy bar,escalope,frozen smoothie,ground beef,milk,mineral water,salmon,spaghetti"
sparkling water,sparkling water
"mineral water,eggs,chicken,chocolate,french fries","chicken,chocolate,eggs,french fries,mineral water"
"frozen vegetables,spaghetti,yams,mineral water","frozen vegetables,mineral water,spaghetti,yams"
"herb & pepper,tomato sauce,light cream,magazines","herb pepper,light cream,magazines,tomato sauce"
"mineral water,chocolate,avocado,eggs","avocado,chocolate,eggs,mineral water"
"turkey,french fries,strawberries","french fries,strawberries,turkey"
"frozen vegetables,strong cheese,chocolate","chocolate,frozen vegetables,strong cheese"
cookies,cookies
"pickles,spaghetti,salmon,escalope","escalope,pickles,salmon,spaghetti"
"energy bar,french fries","energy bar,french fries"
"red wine,ground beef,mineral water","ground beef,mineral water,red wine"
"mineral water,cake,cottage cheese","cake,cottage cheese,mineral water"
"pickles,champagne,green tea","champagne,green tea,pickles"
spaghetti,spaghetti
"fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope","escalope,fresh tuna,frozen smoothie,frozen vegetables,honey,mineral water,spaghetti,whole wheat rice"
spaghetti,spaghetti
"soup,meatballs,hot dogs,sparkling water","hot dogs,meatballs,soup,sparkling water"
escalope,escalope
"soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea","avocado,body spray,brownies,french fries,green tea,hot dogs,pancakes,soup"
"mineral water,chicken,cereals,clothes accessories","cereals,chicken,clothes accessories,mineral water"
"mineral water,bug spray","bug spray,mineral water"
"avocado,muffins","avocado,muffins"
"burgers,black tea,green tea","black tea,burgers,green tea"
